cluster_id	KSLabel
0	good
1	mua
2	mua
3	mua
4	good
5	mua
6	mua
7	mua
8	mua
9	mua
10	mua
11	mua
12	mua
13	mua
14	mua
15	mua
16	mua
17	mua
18	mua
19	mua
20	mua
21	mua
22	good
23	mua
24	mua
25	good
26	mua
27	mua
28	mua
29	mua
30	mua
31	mua
32	mua
33	mua
34	good
35	good
36	mua
37	mua
38	good
39	mua
40	good
41	mua
42	mua
43	mua
44	mua
45	mua
46	good
47	mua
48	good
49	good
50	good
51	mua
52	good
53	good
54	mua
55	mua
56	good
57	mua
58	mua
59	mua
60	good
61	mua
62	good
63	good
64	good
65	mua
66	good
67	mua
68	good
69	good
70	mua
71	mua
72	mua
73	mua
74	mua
75	mua
76	mua
77	mua
78	mua
79	good
80	mua
81	mua
82	mua
83	mua
84	mua
85	good
86	good
87	good
88	mua
89	good
90	good
91	good
92	mua
93	mua
94	good
95	good
96	good
97	mua
98	good
99	mua
100	mua
101	good
102	mua
103	mua
104	mua
105	mua
106	good
107	mua
108	mua
109	mua
110	mua
111	mua
112	good
113	mua
114	mua
115	mua
116	good
117	mua
118	mua
119	mua
120	good
121	mua
122	mua
123	mua
124	good
125	mua
126	good
127	mua
128	mua
129	mua
130	mua
131	good
132	mua
133	mua
134	good
135	mua
136	mua
137	good
138	good
139	mua
140	good
141	mua
142	good
143	mua
144	good
145	mua
146	good
147	mua
148	mua
149	mua
150	mua
151	mua
152	mua
153	good
154	mua
155	mua
